WeaponNumber,Stage,WeaponName,HP,Iron,Coal,Price,NextWeaponNumber,WeaponImage
412,1,Level 42-2 Shortsword,24643,10781,2156,64683,413,Shortsword
413,1,Level 42-3 Scimitar,27723,12321,3696,92403,414,Scimitar
414,1,Level 42-4 Mace,30804,20022,1540,83166,415,Mace
415,1,Level 42-5 Sword,30804,15402,3080,92406,416,Sword
416,1,Level 42-6 Battleaxe,36965,21563,2464,101649,417,Battleaxe
417,1,Level 42-7 Longsword,40045,18482,3696,110886,418,Longsword
418,1,Level 42-8 Rapier,27723,13861,4620,110883,419,Rapier
419,1,Level 42-9 Warhammer,49286,27723,1848,110889,420,Warhammer
420,1,Level 42-10 Greatsword,61608,27723,5544,166329,421,Greatsword
421,1,Level 43-1 Dagger,21254,8856,1771,53133,422,Dagger
422,1,Level 43-2 Shortsword,28339,12398,2479,74379,423,Shortsword
423,1,Level 43-3 Scimitar,31882,14169,4250,106257,424,Scimitar
424,1,Level 43-4 Mace,35424,23026,1771,95643,425,Mace
425,1,Level 43-5 Sword,35424,17712,3542,106266,426,Sword
426,1,Level 43-6 Battleaxe,42509,24797,2833,116886,427,Battleaxe
427,1,Level 43-7 Longsword,46052,21254,4250,127512,428,Longsword
428,1,Level 43-8 Rapier,31882,15941,5313,127518,429,Rapier
429,1,Level 43-9 Warhammer,56679,31882,2125,127521,430,Warhammer
430,1,Level 43-10 Greatsword,70849,31882,6376,191286,431,Greatsword
431,1,Level 44-1 Dagger,24443,10184,2036,61092,432,Dagger
432,1,Level 44-2 Shortsword,32590,14258,2851,85539,433,Shortsword
433,1,Level 44-3 Scimitar,36664,16295,4888,122205,434,Scimitar
434,1,Level 44-4 Mace,40738,26480,2036,109980,435,Mace
435,1,Level 44-5 Sword,40738,20369,4073,122202,436,Sword
436,1,Level 44-6 Battleaxe,48886,28517,3259,134436,437,Battleaxe
437,1,Level 44-7 Longsword,52960,24443,4888,146649,438,Longsword
438,1,Level 44-8 Rapier,36664,18332,6110,146646,439,Rapier
439,1,Level 44-9 Warhammer,65181,36664,2444,146652,440,Warhammer
440,1,Level 44-10 Greatsword,81477,36664,7332,219972,441,Greatsword
441,1,Level 45-1 Dagger,28109,11712,2342,70266,442,Dagger
442,1,Level 45-2 Shortsword,37479,16397,3279,98376,443,Shortsword
443,1,Level 45-3 Scimitar,42164,18739,5621,140532,444,Scimitar
444,1,Level 45-4 Mace,46849,30452,2342,126486,445,Mace
445,1,Level 45-5 Sword,46849,23424,4684,140532,446,Sword
446,1,Level 45-6 Battleaxe,56219,32794,3747,154587,447,Battleaxe
447,1,Level 45-7 Longsword,60904,28109,5621,168642,448,Longsword
448,1,Level 45-8 Rapier,42164,21082,7027,168651,449,Rapier
449,1,Level 45-9 Warhammer,74959,42164,2810,168642,450,Warhammer
450,1,Level 45-10 Greatsword,93699,42164,8432,252972,451,Greatsword
451,1,Level 46-1 Dagger,32326,13469,2693,80802,452,Dagger
452,1,Level 46-2 Shortsword,43101,18856,3771,113133,453,Shortsword
453,1,Level 46-3 Scimitar,48489,21550,6465,161625,454,Scimitar
454,1,Level 46-4 Mace,53876,35020,2693,145455,455,Mace
455,1,Level 46-5 Sword,53876,26938,5387,161619,456,Sword
456,1,Level 46-6 Battleaxe,64652,37713,4310,177789,457,Battleaxe
457,1,Level 46-7 Longsword,70040,32326,6465,193953,458,Longsword
458,1,Level 46-8 Rapier,48489,24244,8081,193947,459,Rapier
459,1,Level 46-9 Warhammer,86203,48489,3232,193947,460,Warhammer
460,1,Level 46-10 Greatsword,107753,48489,9697,290922,461,Greatsword
461,1,Level 47-1 Dagger,37175,15489,3097,92922,462,Dagger
462,1,Level 47-2 Shortsword,49566,21685,4337,130110,463,Shortsword
463,1,Level 47-3 Scimitar,55762,24783,7435,185874,464,Scimitar
464,1,Level 47-4 Mace,61958,40273,3097,167274,465,Mace
465,1,Level 47-5 Sword,61958,30979,6195,185862,466,Sword
466,1,Level 47-6 Battleaxe,74350,43370,4956,204450,467,Battleaxe
467,1,Level 47-7 Longsword,80546,37175,7435,223050,468,Longsword
468,1,Level 47-8 Rapier,55762,27881,9293,223038,469,Rapier
469,1,Level 47-9 Warhammer,99133,55762,3717,223041,470,Warhammer
470,1,Level 47-10 Greatsword,123916,55762,11152,334566,471,Greatsword
471,1,Level 48-1 Dagger,42751,17813,3562,106869,472,Dagger
472,1,Level 48-2 Shortsword,57001,24938,4987,149619,473,Shortsword
473,1,Level 48-3 Scimitar,64127,28500,8550,213750,474,Scimitar
474,1,Level 48-4 Mace,71252,46313,3562,192369,475,Mace
475,1,Level 48-5 Sword,71252,35626,7125,213753,476,Sword
476,1,Level 48-6 Battleaxe,85502,49876,5700,235128,477,Battleaxe
477,1,Level 48-7 Longsword,92627,42751,8550,256503,478,Longsword
478,1,Level 48-8 Rapier,64127,32063,10687,256494,479,Rapier
479,1,Level 48-9 Warhammer,114003,64127,4275,256506,480,Warhammer
480,1,Level 48-10 Greatsword,142504,64127,12825,384756,481,Greatsword
481,1,Level 49-1 Dagger,49164,20485,4097,122910,482,Dagger
482,1,Level 49-2 Shortsword,65552,28679,5735,172062,483,Shortsword
483,1,Level 49-3 Scimitar,73746,32776,9832,245808,484,Scimitar
484,1,Level 49-4 Mace,81940,53261,4097,221238,485,Mace
485,1,Level 49-5 Sword,81940,40970,8194,245820,486,Sword
486,1,Level 49-6 Battleaxe,98328,57358,6555,270399,487,Battleaxe
487,1,Level 49-7 Longsword,106522,49164,9832,294972,488,Longsword
488,1,Level 49-8 Rapier,73746,36873,12291,294984,489,Rapier
489,1,Level 49-9 Warhammer,131104,73746,4916,294978,490,Warhammer
490,1,Level 49-10 Greatsword,163880,73746,14749,442473,491,Greatsword
491,1,Level 50-1 Dagger,56538,23557,4711,141336,492,Dagger
492,1,Level 50-2 Shortsword,75384,32980,6596,197880,493,Shortsword
493,1,Level 50-3 Scimitar,84807,37692,11307,282681,494,Scimitar
494,1,Level 50-4 Mace,94231,61250,4711,254415,495,Mace
495,1,Level 50-5 Sword,94231,47115,9423,282690,496,Sword
496,1,Level 50-6 Battleaxe,113077,65961,7538,310953,497,Battleaxe
497,1,Level 50-7 Longsword,122500,56538,11307,339219,498,Longsword
498,1,Level 50-8 Rapier,84807,42403,14134,339219,499,Rapier
499,1,Level 50-9 Warhammer,150769,84807,5653,339216,500,Warhammer
500,1,Level 50-10 Greatsword,188462,84807,16961,508836,501,Greatsword
501,1,Level 51-1 Dagger,65019,27091,5418,162543,502,Dagger
502,1,Level 51-2 Shortsword,86692,37928,7585,227559,503,Shortsword
503,1,Level 51-3 Scimitar,97529,43346,13003,325083,504,Scimitar
504,1,Level 51-4 Mace,108365,70437,5418,292581,505,Mace
505,1,Level 51-5 Sword,108365,54182,10836,325086,506,Sword
506,1,Level 51-6 Battleaxe,130038,75856,8669,357603,507,Battleaxe
507,1,Level 51-7 Longsword,140875,65019,13003,390102,508,Longsword
508,1,Level 51-8 Rapier,97529,48764,16254,390102,509,Rapier
509,1,Level 51-9 Warhammer,173385,97529,6501,390102,510,Warhammer
510,1,Level 51-10 Greatsword,216731,97529,19505,585162,511,Greatsword
511,1,Level 52-1 Dagger,74772,31155,6231,186930,512,Dagger
512,1,Level 52-2 Shortsword,99696,43617,8723,261696,513,Shortsword
513,1,Level 52-3 Scimitar,112158,49848,14954,373854,514,Scimitar
514,1,Level 52-4 Mace,124620,81003,6231,336474,515,Mace
515,1,Level 52-5 Sword,124620,62310,12462,373860,516,Sword
516,1,Level 52-6 Battleaxe,149544,87234,9969,411237,517,Battleaxe
517,1,Level 52-7 Longsword,162006,74772,14954,448626,518,Longsword
518,1,Level 52-8 Rapier,112158,56079,18693,448632,519,Rapier
519,1,Level 52-9 Warhammer,199392,112158,7477,448629,520,Warhammer
520,1,Level 52-10 Greatsword,249241,112158,22431,672939,521,Greatsword
521,1,Level 53-1 Dagger,85988,35828,7165,214959,522,Dagger
522,1,Level 53-2 Shortsword,114650,50159,10031,300942,523,Shortsword
523,1,Level 53-3 Scimitar,128982,57325,17197,429930,524,Scimitar
524,1,Level 53-4 Mace,143313,93153,7165,386934,525,Mace
525,1,Level 53-5 Sword,143313,71656,14331,429933,526,Sword
526,1,Level 53-6 Battleaxe,171976,100319,11465,472932,527,Battleaxe
527,1,Level 53-7 Longsword,186307,85988,17197,515919,528,Longsword
528,1,Level 53-8 Rapier,128982,64491,21497,515928,529,Rapier
529,1,Level 53-9 Warhammer,229301,128982,8598,515916,530,Warhammer
530,1,Level 53-10 Greatsword,286627,128982,25796,773886,531,Greatsword
531,1,Level 54-1 Dagger,98886,41202,8240,247206,532,Dagger
532,1,Level 54-2 Shortsword,131848,57683,11536,346089,533,Shortsword
533,1,Level 54-3 Scimitar,148329,65924,19777,494427,534,Scimitar
534,1,Level 54-4 Mace,164810,107126,8240,444978,535,Mace
535,1,Level 54-5 Sword,164810,82405,16481,494430,536,Sword
536,1,Level 54-6 Battleaxe,197772,115367,13184,543861,537,Battleaxe
537,1,Level 54-7 Longsword,214253,98886,19777,593313,538,Longsword
538,1,Level 54-8 Rapier,148329,74164,24721,593307,539,Rapier
539,1,Level 54-9 Warhammer,263697,148329,9888,593307,540,Warhammer
540,1,Level 54-10 Greatsword,329621,148329,29665,889962,541,Greatsword
541,1,Level 55-1 Dagger,113719,47383,9476,284289,542,Dagger
542,1,Level 55-2 Shortsword,151625,66336,13267,398013,543,Shortsword
543,1,Level 55-3 Scimitar,170579,75812,22743,568581,544,Scimitar
544,1,Level 55-4 Mace,189532,123196,9476,511728,545,Mace
545,1,Level 55-5 Sword,189532,94766,18953,568593,546,Sword
546,1,Level 55-6 Battleaxe,227438,132672,15162,625446,547,Battleaxe
547,1,Level 55-7 Longsword,246392,113719,22743,682302,548,Longsword
548,1,Level 55-8 Rapier,170579,85289,28429,682302,549,Rapier
549,1,Level 55-9 Warhammer,303251,170579,11371,682302,550,Warhammer
550,1,Level 55-10 Greatsword,379064,170579,34115,1023462,551,Greatsword
551,1,Level 56-1 Dagger,130777,54490,10898,326940,552,Dagger
552,1,Level 56-2 Shortsword,174369,76286,15257,457713,553,Shortsword
553,1,Level 56-3 Scimitar,196165,87184,26155,653877,554,Scimitar
554,1,Level 56-4 Mace,217962,141675,10898,588495,555,Mace
555,1,Level 56-5 Sword,217962,108981,21796,653883,556,Sword
556,1,Level 56-6 Battleaxe,261554,152573,17436,719259,557,Battleaxe
557,1,Level 56-7 Longsword,283350,130777,26155,784656,558,Longsword
558,1,Level 56-8 Rapier,196165,98082,32694,784656,559,Rapier
559,1,Level 56-9 Warhammer,348739,196165,13077,784650,560,Warhammer
560,1,Level 56-10 Greatsword,435924,196165,39233,1176990,561,Greatsword
561,1,Level 57-1 Dagger,150393,62664,12532,375972,562,Dagger
562,1,Level 57-2 Shortsword,200525,87729,17545,526362,563,Shortsword
563,1,Level 57-3 Scimitar,225590,100262,30078,751956,564,Scimitar
564,1,Level 57-4 Mace,250656,162926,12532,676758,565,Mace
565,1,Level 57-5 Sword,250656,125328,25065,751959,566,Sword
566,1,Level 57-6 Battleaxe,300787,175459,20052,827157,567,Battleaxe
567,1,Level 57-7 Longsword,325853,150393,30078,902349,568,Longsword
568,1,Level 57-8 Rapier,225590,112795,37598,902355,569,Rapier
569,1,Level 57-9 Warhammer,401050,225590,15039,902355,570,Warhammer
570,1,Level 57-10 Greatsword,501313,225590,45118,1353540,571,Greatsword
571,1,Level 58-1 Dagger,172953,72063,14412,432369,572,Dagger
572,1,Level 58-2 Shortsword,230604,100889,20177,605322,573,Shortsword
573,1,Level 58-3 Scimitar,259429,115302,34590,864756,574,Scimitar
574,1,Level 58-4 Mace,288255,187365,14412,778275,575,Mace
575,1,Level 58-5 Sword,288255,144127,28825,864756,576,Sword
576,1,Level 58-6 Battleaxe,345906,201778,23060,951234,577,Battleaxe
577,1,Level 58-7 Longsword,374731,172953,34590,1037709,578,Longsword
578,1,Level 58-8 Rapier,259429,129714,43238,1037712,579,Rapier
579,1,Level 58-9 Warhammer,461208,259429,17295,1037712,580,Warhammer
580,1,Level 58-10 Greatsword,576510,259429,51885,1556562,581,Greatsword
581,1,Level 59-1 Dagger,198895,82873,16574,497229,582,Dagger
582,1,Level 59-2 Shortsword,265194,116022,23204,696126,583,Shortsword
583,1,Level 59-3 Scimitar,298343,132597,39779,994476,584,Scimitar
584,1,Level 59-4 Mace,331493,215470,16574,895020,585,Mace
585,1,Level 59-5 Sword,331493,165746,33149,994473,586,Sword
586,1,Level 59-6 Battleaxe,397791,232045,26519,1093920,587,Battleaxe
587,1,Level 59-7 Longsword,430941,198895,39779,1193370,588,Longsword
588,1,Level 59-8 Rapier,298343,149171,49723,1193358,589,Rapier
589,1,Level 59-9 Warhammer,530389,298343,19889,1193364,590,Warhammer
590,1,Level 59-10 Greatsword,662986,298343,59668,1790049,591,Greatsword
591,1,Level 60-1 Dagger,228730,95304,19060,571812,592,Dagger
592,1,Level 60-2 Shortsword,304973,133426,26685,800553,593,Shortsword
593,1,Level 60-3 Scimitar,343095,152486,45746,1143648,594,Scimitar
594,1,Level 60-4 Mace,381217,247791,19060,1029273,595,Mace
595,1,Level 60-5 Sword,381217,190608,38121,1143639,596,Sword
596,1,Level 60-6 Battleaxe,457460,266852,30497,1258011,597,Battleaxe
597,1,Level 60-7 Longsword,495582,228730,45746,1372380,598,Longsword
598,1,Level 60-8 Rapier,343095,171547,57182,1372371,599,Rapier
599,1,Level 60-9 Warhammer,609947,343095,22873,1372380,600,Warhammer
600,1,Level 60-10 Greatsword,762434,343095,68619,2058570,601,Greatsword
601,1,Level 61-1 Dagger,263039,109599,21919,657582,602,Dagger
602,1,Level 61-2 Shortsword,350719,153439,30687,920622,603,Shortsword
603,1,Level 61-3 Scimitar,394559,175359,52607,1315182,604,Scimitar
604,1,Level 61-4 Mace,438399,284959,21919,1183662,605,Mace
605,1,Level 61-5 Sword,438399,219199,43839,1315182,606,Sword
606,1,Level 61-6 Battleaxe,526079,306879,35071,1446702,607,Battleaxe
607,1,Level 61-7 Longsword,569919,263039,52607,1578222,608,Longsword
608,1,Level 61-8 Rapier,394559,197279,65759,1578222,609,Rapier
609,1,Level 61-9 Warhammer,701439,394559,26303,1578222,610,Warhammer
610,1,Level 61-10 Greatsword,876799,394559,78911,2367342,611,Greatsword
611,1,Level 62-1 Dagger,302495,126039,25207,756222,612,Dagger
612,1,Level 62-2 Shortsword,403327,176455,35291,1058730,613,Shortsword
613,1,Level 62-3 Scimitar,453743,201663,60499,1512474,614,Scimitar
614,1,Level 62-4 Mace,504159,327703,25207,1361214,615,Mace
615,1,Level 62-5 Sword,504159,252079,50415,1512462,616,Sword
616,1,Level 62-6 Battleaxe,604991,352911,40332,1663713,617,Battleaxe
617,1,Level 62-7 Longsword,655407,302495,60499,1814970,618,Longsword
618,1,Level 62-8 Rapier,453743,226871,75623,1814958,619,Rapier
619,1,Level 62-9 Warhammer,806655,453743,30249,1814964,620,Warhammer
620,1,Level 62-10 Greatsword,1008319,453743,90748,2722449,621,Greatsword
621,1,Level 63-1 Dagger,347870,144945,28989,869670,622,Dagger
622,1,Level 63-2 Shortsword,463827,202924,40584,1217532,623,Shortsword
623,1,Level 63-3 Scimitar,521805,231913,69574,1739349,624,Scimitar
624,1,Level 63-4 Mace,579783,376859,28989,1565412,625,Mace
625,1,Level 63-5 Sword,579783,289891,57978,1739343,626,Sword
626,1,Level 63-6 Battleaxe,695740,405848,46382,1913274,627,Battleaxe
627,1,Level 63-7 Longsword,753718,347870,69574,2087220,628,Longsword
628,1,Level 63-8 Rapier,521805,260902,86967,2087211,629,Rapier
629,1,Level 63-9 Warhammer,927654,521805,34787,2087220,630,Warhammer
630,1,Level 63-10 Greatsword,1159567,521805,104361,3130830,631,Greatsword
631,1,Level 64-1 Dagger,400050,166687,33337,1000116,632,Dagger
632,1,Level 64-2 Shortsword,533401,233362,46672,1400166,633,Shortsword
633,1,Level 64-3 Scimitar,600076,266700,80010,2000250,634,Scimitar
634,1,Level 64-4 Mace,666751,433388,33337,1800219,635,Mace
635,1,Level 64-5 Sword,666751,333375,66675,2000250,636,Sword
636,1,Level 64-6 Battleaxe,800101,466725,53340,2200275,637,Battleaxe
637,1,Level 64-7 Longsword,866776,400050,80010,2400300,638,Longsword
638,1,Level 64-8 Rapier,600076,300038,100012,2400294,639,Rapier
639,1,Level 64-9 Warhammer,1066802,600076,40005,2400303,640,Warhammer
640,1,Level 64-10 Greatsword,1333502,600076,120015,3600453,641,Greatsword
641,1,Level 65-1 Dagger,460058,191691,38338,1150143,642,Dagger
642,1,Level 65-2 Shortsword,613411,268367,53673,1610196,643,Shortsword
643,1,Level 65-3 Scimitar,690087,306705,92011,2300280,644,Scimitar
644,1,Level 65-4 Mace,766764,498396,38338,2070258,645,Mace
645,1,Level 65-5 Sword,766764,383382,76676,2300286,646,Sword
646,1,Level 65-6 Battleaxe,920116,536734,61341,2530317,647,Battleaxe
647,1,Level 65-7 Longsword,996793,460058,92011,2760339,648,Longsword
648,1,Level 65-8 Rapier,690087,345043,115014,2760339,649,Rapier
649,1,Level 65-9 Warhammer,1226822,690087,46005,2760336,650,Warhammer
650,1,Level 65-10 Greatsword,1533528,690087,138017,4140516,651,Greatsword
651,1,Level 66-1 Dagger,529067,220444,44088,1322652,652,Dagger
652,1,Level 66-2 Shortsword,705422,308622,61724,1851726,653,Shortsword
653,1,Level 66-3 Scimitar,793600,352711,105813,2645328,654,Scimitar
654,1,Level 66-4 Mace,881778,573156,44088,2380788,655,Mace
655,1,Level 66-5 Sword,881778,440889,88177,2645322,656,Sword
656,1,Level 66-6 Battleaxe,1058134,617245,70542,2909865,657,Battleaxe
657,1,Level 66-7 Longsword,1146312,529067,105813,3174396,658,Longsword
658,1,Level 66-8 Rapier,793600,396800,132266,3174390,659,Rapier
659,1,Level 66-9 Warhammer,1410845,793600,52906,3174390,660,Warhammer
660,1,Level 66-10 Greatsword,1763557,793600,158720,4761600,661,Greatsword
661,1,Level 67-1 Dagger,608427,253511,50702,1521063,662,Dagger
662,1,Level 67-2 Shortsword,811236,354915,70983,2129490,663,Shortsword
663,1,Level 67-3 Scimitar,912640,405618,121685,3042129,664,Scimitar
664,1,Level 67-4 Mace,1014045,659129,50702,2737917,665,Mace
665,1,Level 67-5 Sword,1014045,507022,101404,3042126,666,Sword
666,1,Level 67-6 Battleaxe,1216854,709831,81123,3346338,667,Battleaxe
667,1,Level 67-7 Longsword,1318259,608427,121685,3650556,668,Longsword
668,1,Level 67-8 Rapier,912640,456320,152106,3650550,669,Rapier
669,1,Level 67-9 Warhammer,1622472,912640,60842,3650550,670,Warhammer
670,1,Level 67-10 Greatsword,2028091,912640,182528,5475840,671,Greatsword
671,1,Level 68-1 Dagger,699691,291538,58307,1749219,672,Dagger
672,1,Level 68-2 Shortsword,932921,408153,81630,2448909,673,Shortsword
673,1,Level 68-3 Scimitar,1049537,466460,139938,3498450,674,Scimitar
674,1,Level 68-4 Mace,1166152,757999,58307,3148602,675,Mace
675,1,Level 68-5 Sword,1166152,583076,116615,3498453,676,Sword
676,1,Level 68-6 Battleaxe,1399382,816306,93292,3848298,677,Battleaxe
677,1,Level 68-7 Longsword,1515998,699691,139938,4198143,678,Longsword
678,1,Level 68-8 Rapier,1049537,524768,174922,4198134,679,Rapier
679,1,Level 68-9 Warhammer,1865843,1049537,69969,4198146,680,Warhammer
680,1,Level 68-10 Greatsword,2332304,1049537,209907,6297216,681,Greatsword
681,1,Level 69-1 Dagger,804645,335268,67053,2011599,682,Dagger
682,1,Level 69-2 Shortsword,1072860,469376,93875,2816253,683,Shortsword
683,1,Level 69-3 Scimitar,1206967,536430,160929,4023225,684,Scimitar
684,1,Level 69-4 Mace,1341075,871698,67053,3620889,685,Mace
685,1,Level 69-5 Sword,1341075,670537,134107,4023216,686,Sword
686,1,Level 69-6 Battleaxe,1609290,938752,107286,4425546,687,Battleaxe
687,1,Level 69-7 Longsword,1743397,804645,160929,4827870,688,Longsword
688,1,Level 69-8 Rapier,1206967,603483,201161,4827864,689,Rapier
689,1,Level 69-9 Warhammer,2145720,1206967,80464,4827861,690,Warhammer
690,1,Level 69-10 Greatsword,2682150,1206967,241393,7241796,691,Greatsword
691,1,Level 70-1 Dagger,925341,385559,77111,2313342,692,Dagger
692,1,Level 70-2 Shortsword,1233789,539782,107956,3238686,693,Shortsword
693,1,Level 70-3 Scimitar,1388012,616894,185068,4626702,694,Scimitar
694,1,Level 70-4 Mace,1542236,1002453,77111,4164024,695,Mace
695,1,Level 70-5 Sword,1542236,771118,154223,4626699,696,Sword
696,1,Level 70-6 Battleaxe,1850683,1079565,123378,5089365,697,Battleaxe
697,1,Level 70-7 Longsword,2004907,925341,185068,5552043,698,Longsword
698,1,Level 70-8 Rapier,1388012,694006,231335,5552043,699,Rapier
699,1,Level 70-9 Warhammer,2467578,1388012,92534,5552046,700,Warhammer
700,1,Level 70-10 Greatsword,3084473,1388012,277602,8328066,701,Greatsword
701,1,Level 71-1 Dagger,1064143,443393,88678,2660349,702,Dagger
702,1,Level 71-2 Shortsword,1418857,620750,124150,3724500,703,Shortsword
703,1,Level 71-3 Scimitar,1596214,709428,212828,5320704,704,Scimitar
704,1,Level 71-4 Mace,1773572,1152821,88678,4788633,705,Mace
705,1,Level 71-5 Sword,1773572,886786,177357,5320713,706,Sword
706,1,Level 71-6 Battleaxe,2128286,1241500,141885,5852775,707,Battleaxe
707,1,Level 71-7 Longsword,2305643,1064143,212828,6384849,708,Longsword
708,1,Level 71-8 Rapier,1596214,798107,266035,6384846,709,Rapier
709,1,Level 71-9 Warhammer,2837715,1596214,106414,6384852,710,Warhammer
710,1,Level 71-10 Greatsword,3547144,1596214,319242,9577272,711,Greatsword
711,1,Level 72-1 Dagger,1223764,509901,101980,3059403,712,Dagger
712,1,Level 72-2 Shortsword,1631686,713862,142772,4283166,713,Shortsword
713,1,Level 72-3 Scimitar,1835647,815843,244752,6118809,714,Scimitar
714,1,Level 72-4 Mace,2039607,1325745,101980,5506935,715,Mace
715,1,Level 72-5 Sword,2039607,1019803,203960,6118809,716,Sword
716,1,Level 72-6 Battleaxe,2447529,1427725,163168,6730695,717,Battleaxe
717,1,Level 72-7 Longsword,2651490,1223764,244752,7342572,718,Longsword
718,1,Level 72-8 Rapier,1835647,917823,305941,7342584,719,Rapier
719,1,Level 72-9 Warhammer,3263372,1835647,122376,7342581,720,Warhammer
720,1,Level 72-10 Greatsword,4079215,1835647,367129,11013876,721,Greatsword
721,1,Level 73-1 Dagger,1407329,586387,117277,3518316,722,Dagger
722,1,Level 73-2 Shortsword,1876439,820942,164188,4925646,723,Shortsword
723,1,Level 73-3 Scimitar,2110994,938219,281465,7036632,724,Scimitar
724,1,Level 73-4 Mace,2345548,1524606,117277,6332973,725,Mace
725,1,Level 73-5 Sword,2345548,1172774,234554,7036632,726,Sword
726,1,Level 73-6 Battleaxe,2814658,1641884,187643,7740297,727,Battleaxe
727,1,Level 73-7 Longsword,3049213,1407329,281465,8443962,728,Longsword
728,1,Level 73-8 Rapier,2110994,1055497,351832,8443971,729,Rapier
729,1,Level 73-9 Warhammer,3752878,2110994,140732,8443962,730,Warhammer
730,1,Level 73-10 Greatsword,4691097,2110994,422198,12665952,731,Greatsword
731,1,Level 74-1 Dagger,1618428,674345,134869,4046070,732,Dagger
732,1,Level 74-2 Shortsword,2157905,944083,188816,5664489,733,Shortsword
733,1,Level 74-3 Scimitar,2427643,1078952,323685,8092131,734,Scimitar
734,1,Level 74-4 Mace,2697381,1753297,134869,7282926,735,Mace
735,1,Level 74-5 Sword,2697381,1348690,269738,8092140,736,Sword
736,1,Level 74-6 Battleaxe,3236857,1888166,215790,8901348,737,Battleaxe
737,1,Level 74-7 Longsword,3506595,1618428,323685,9710559,738,Longsword
738,1,Level 74-8 Rapier,2427643,1213821,404607,9710568,739,Rapier
739,1,Level 74-9 Warhammer,4315810,2427643,161842,9710559,740,Warhammer
740,1,Level 74-10 Greatsword,5394762,2427643,485528,14565849,741,Greatsword
741,1,Level 75-1 Dagger,1861193,775497,155099,4652976,742,Dagger
742,1,Level 75-2 Shortsword,2481590,1085695,217139,6514170,743,Shortsword
743,1,Level 75-3 Scimitar,2791789,1240795,372238,9305955,744,Scimitar
744,1,Level 75-4 Mace,3101988,2016292,155099,8375361,745,Mace
745,1,Level 75-5 Sword,3101988,1550994,310198,9305952,746,Sword
746,1,Level 75-6 Battleaxe,3722386,2171391,248159,10236558,747,Battleaxe
747,1,Level 75-7 Longsword,4032585,1861193,372238,11167149,748,Longsword
748,1,Level 75-8 Rapier,2791789,1395894,465298,11167152,749,Rapier
749,1,Level 75-9 Warhammer,4963181,2791789,186119,11167152,750,Warhammer
750,1,Level 75-10 Greatsword,6203977,2791789,558357,16750722,751,Greatsword
751,1,Level 76-1 Dagger,2140372,891821,178364,5350923,752,Dagger
752,1,Level 76-2 Shortsword,2853829,1248550,249710,7491300,753,Shortsword
753,1,Level 76-3 Scimitar,3210558,1426914,428074,10701852,754,Scimitar
754,1,Level 76-4 Mace,3567286,2318736,178364,9631668,755,Mace
755,1,Level 76-5 Sword,3567286,1783643,356728,10701849,756,Sword
756,1,Level 76-6 Battleaxe,4280744,2497100,285382,11772030,757,Battleaxe
757,1,Level 76-7 Longsword,4637472,2140372,428074,12842226,758,Longsword
758,1,Level 76-8 Rapier,3210558,1605279,535093,12842232,759,Rapier
759,1,Level 76-9 Warhammer,5707658,3210558,214037,12842229,760,Warhammer
760,1,Level 76-10 Greatsword,7134573,3210558,642111,19263339,761,Greatsword
761,1,Level 77-1 Dagger,2461427,1025594,205118,6153552,762,Dagger
762,1,Level 77-2 Shortsword,3281903,1435832,287166,8614986,763,Shortsword
763,1,Level 77-3 Scimitar,3692141,1640951,492285,12307128,764,Scimitar
764,1,Level 77-4 Mace,4102379,2666546,205118,11076408,765,Mace
765,1,Level 77-5 Sword,4102379,2051189,410237,12307122,766,Sword
766,1,Level 77-6 Battleaxe,4922855,2871665,328190,13537845,767,Battleaxe
767,1,Level 77-7 Longsword,5333093,2461427,492285,14768556,768,Longsword
768,1,Level 77-8 Rapier,3692141,1846070,615356,14768550,769,Rapier
769,1,Level 77-9 Warhammer,6563807,3692141,246142,14768553,770,Warhammer
770,1,Level 77-10 Greatsword,8204759,3692141,738428,22152843,771,Greatsword
771,1,Level 78-1 Dagger,2830642,1179434,235886,7076592,772,Dagger
772,1,Level 78-2 Shortsword,3774189,1651207,330241,9907236,773,Shortsword
773,1,Level 78-3 Scimitar,4245963,1887094,566128,14153202,774,Scimitar
774,1,Level 78-4 Mace,4717736,3066528,235886,12737874,775,Mace
775,1,Level 78-5 Sword,4717736,2358868,471773,14153199,776,Sword
776,1,Level 78-6 Battleaxe,5661284,3302415,377418,15568515,777,Battleaxe
777,1,Level 78-7 Longsword,6133057,2830642,566128,16983846,778,Longsword
778,1,Level 78-8 Rapier,4245963,2122981,707660,16983843,779,Rapier
779,1,Level 78-9 Warhammer,7548378,4245963,283064,16983849,780,Warhammer
780,1,Level 78-10 Greatsword,9435473,4245963,849192,25475769,781,Greatsword
781,1,Level 79-1 Dagger,3255238,1356349,271269,8138082,782,Dagger
782,1,Level 79-2 Shortsword,4340317,1898889,379777,11393322,783,Shortsword
783,1,Level 79-3 Scimitar,4882857,2170158,651047,16276179,784,Scimitar
784,1,Level 79-4 Mace,5425397,3526508,271269,14648559,785,Mace
785,1,Level 79-5 Sword,5425397,2712698,542539,16276179,786,Sword
786,1,Level 79-6 Battleaxe,6510476,3797778,434031,17903799,787,Battleaxe
787,1,Level 79-7 Longsword,7053016,3255238,651047,19531419,788,Longsword
788,1,Level 79-8 Rapier,4882857,2441428,813809,19531419,789,Rapier
789,1,Level 79-9 Warhammer,8680635,4882857,325523,19531416,790,Warhammer
